CarteSimple;Vert;2
CarteSimple;Bleu;2
CarteSimple;Bleu;9
CarteSimple;Jaune;6
CarteSimple;Jaune;4
CarteSimple;Bleu;7
CarteSimple;Rouge;1
CarteSimple;Rouge;9
CarteSimple;Bleu;0
CarteSimple;Vert;8
CarteSimple;Jaune;6
CarteSimple;Rouge;4
CarteSimple;Vert;2
CarteSimple;Bleu;5
CarteSimple;Vert;0
CarteSimple;Bleu;3
CarteSimple;Jaune;7
CarteSimple;Rouge;7
CarteSimple;Jaune;9
CarteSimple;Vert;1
CarteSimple;Bleu;7
CarteSimple;Rouge;3
CarteSimple;Rouge;8
CarteSimple;Rouge;9
CarteSimple;Jaune;9
CarteSimple;Jaune;3
CarteSimple;Rouge;8
CarteSimple;Vert;1
CarteSimple;Jaune;7
CarteSimple;Bleu;1
CarteSimple;Bleu;6
CarteSimple;Vert;9
CarteSimple;Jaune;1
CarteSimple;Vert;6
CarteSimple;Bleu;1
CarteSimple;Vert;8
CarteSimple;Bleu;8
CarteSimple;Bleu;8
CarteSimple;Vert;9
CarteSimple;Rouge;2
CarteSimple;Rouge;7
CarteSimple;Rouge;1
CarteSimple;Vert;3
CarteSimple;Rouge;6
CarteSimple;Jaune;0
CarteSimple;Bleu;2
CarteSimple;Rouge;5
CarteSimple;Jaune;2
CarteSimple;Bleu;4
CarteSimple;Jaune;3
CarteSimple;Bleu;6
CarteSimple;Rouge;0
CarteSimple;Jaune;5
CarteSimple;Vert;3
CarteSimple;Rouge;4
CarteSimple;Bleu;4
CarteSimple;Bleu;5
CarteSimple;Jaune;4
CarteSimple;Rouge;3
CarteSimple;Rouge;6
CarteSimple;Vert;5
CarteSimple;Jaune;2
CarteSimple;Vert;7
CarteSimple;Jaune;8
CarteSimple;Rouge;2
CarteSimple;Bleu;9
CarteSimple;Jaune;8
CarteSimple;Vert;7
CarteSimple;Rouge;5
CarteSimple;Vert;4
CarteSimple;Vert;4
CarteSimple;Bleu;3
CarteSimple;Jaune;5
CarteSimple;Vert;6
CarteSimple;Jaune;1
CarteSimple;Vert;5
